Location,Address,Postal_Code,Latitude,Longitude,Day,Time,Time_Start,Time_End,Company,updated_time_start,updated_time_end
AHTC ,Blk 526 Hougang Avenue 6,530526,1.374407401,103.8905638,Every Sunday,8am to 1pm ,8am,1pm ,ezi,800,1300
Bukit Purmei Zone A RC  ,Blk 108 Bukit Purmei,90108,1.273357314,103.8253458,Last Sunday of the month,9am to 12pm,9am,12pm,ezi,900,1200
Bukit Purmei Zone B RC ,Blk 114 Bukit Purmei @ Void Deck ,90114,1.275071819,103.8258872,1st and 3rd Sunday of the month,8am to 1pm ,8am,1pm ,ezi,800,1300
Buona Vista Zone B RC ,"Blk 30 Holland Close, S270030 @ Void Deck ",270030,1.307747891,103.7966272,2nd Saturday of the month ,9am to 12pm,9am,12pm,ezi,900,1200
Buona Vista Zone C RC ,"Blk 7A Commonwealth Avenue, S141007 @ Void Deck",141007,1.306791847,103.7948992,2nd Sunday of the month ,9am to 12pm,9am,12pm,ezi,900,1200
Buona Vista Zone E RC ,Blk 19 Holland Drive @ Multi-Purpose Hall,271019,1.310637508,103.7915061,"2nd Saturday of Jun, Sep, Dec",10am to 12pm,10am,12pm,ezi,1000,1200
Cresails RN ,"209B Punggol Place, S822209",822209,1.399730514,103.9009354,24-Sep-22,10:30am to 1:30pm,10:30am,1:30pm,ezi,1030,1330
Casa Clementi RC ,"Blk 420A Clementi Avenue 1, S121420 @ Communal Hall",121420,1.309791021,103.7686577,Last Sunday of the month ,9am to 12pm,9am,12pm,ezi,900,1200
Clementi Heights RC ,Blk 445 Clementi Avenue 3 @ MSCP Void Deck,120445,1.313359327,103.7639026,"3rd Saturday of May, Jul, Sep, Nov",10am to 1pm,10am,1pm,ezi,1000,1300
Clementi Heights RC ,Blk 462 Clementi Avenue 2 @ Void Deck,120462,1.31109876,103.7659064,"3rd Saturday of Jun, Aug, Oct, Dec",10am to 1pm,10am,1pm,ezi,1000,1300
Clementi Zone 3 RC ,Blk 331 Clementi Avenue 2 @ Void Deck,120331,1.314137854,103.7679422,3rd Sunday of the month,9am to 12pm,9am,12pm,ezi,900,1200
Cascadia RN ,316A Punggol Walk S821316,821316,1.408901659,103.8984078,21-May-22,10:30am to 1:30pm,10:30am,1:30pm,ezi,1030,1330
Dakota RC ,"Blk 60 Dakota Crescent #01-245, S390060",390060,1.307285341,103.8885056,"25 Jun, 24 Sep, 17 Dec 2022",9:30am to 1:30pm,9:30am,1:30pm,ezi,930,1330
Dakota RC ,"Blk 95A Old Airport Road, S391095",391095,1.308518971,103.8877931,"25 Jun, 24 Sep, 17 Dec 2022",9:30am to 1:30pm,9:30am,1:30pm,ezi,930,1330
Delta RC ,"Blk 133 Clarence Lane, S140133",140133,1.292316477,103.814606,"2nd Sunday of Feb, Apr, Jun",9am to 12pm,9am,12pm,ezi,900,1200
